기준일,메이저금속지수
2013-12-03,1644.430566
2013-12-04,1641.584575
2013-12-05,1650.500507
2013-12-06,1666.597772
2013-12-09,1667.929754
2013-12-10,1684.178185
2013-12-11,1688.736579
2013-12-12,1691.400255
2013-12-13,1691.143708
2013-12-16,1683.198071
2013-12-17,1687.575205
2013-12-18,1678.291896
2013-12-19,1675.739616
2013-12-20,1671.075241
2013-12-23,1679.624755
2013-12-24,1678.706703
2013-12-27,1676.973026
2013-12-30,1700.309395
2013-12-31,1703.857426
2014-01-02,1703.631533
2014-01-03,1704.639365
2014-01-06,1689.536739
2014-01-07,1677.195141
2014-01-08,1681.40449
2014-01-09,1674.968779
2014-01-10,1657.735915
2014-01-13,1660.917558
2014-01-14,1672.40193
2014-01-15,1680.634643
2014-01-16,1666.714585
2014-01-17,1678.544746
2014-01-20,1692.1614
2014-01-21,1684.227446
2014-01-22,1661.913477
2014-01-23,1658.276908
2014-01-24,1656.620887
2014-01-27,1648.579462
2014-01-28,1641.760894
2014-01-29,1635.705191
2014-01-30,1634.79406
2014-01-31,1619.63624
2014-02-03,1607.280588
2014-02-04,1607.204726
2014-02-05,1604.321238
2014-02-06,1609.186423
2014-02-07,1604.388029
2014-02-10,1619.976851
2014-02-11,1617.919572
2014-02-12,1608.814065
2014-02-13,1621.289634
2014-02-14,1623.779023
2014-02-17,1631.55336
2014-02-18,1642.974141
2014-02-19,1639.701745
2014-02-20,1650.396729
2014-02-21,1636.141675
2014-02-24,1643.160749
2014-02-25,1619.951768
2014-02-26,1609.454577
2014-02-27,1622.102122
2014-02-28,1614.466383
2014-03-03,1622.852216
2014-03-04,1603.175543
2014-03-05,1600.74334
2014-03-06,1625.309311
2014-03-07,1622.352785
2014-03-10,1600.49176
2014-03-11,1542.531549
2014-03-12,1564.338253
2014-03-13,1544.885536
2014-03-14,1553.239739
2014-03-17,1546.095498
2014-03-18,1546.627314
2014-03-19,1543.166154
2014-03-20,1539.277648
2014-03-21,1538.110608
2014-03-24,1547.662214
2014-03-25,1551.005842
2014-03-26,1567.722421
2014-03-27,1561.325331
2014-03-28,1559.419985
2014-03-31,1573.280486
2014-04-01,1588.919273
2014-04-02,1594.17788
2014-04-03,1604.621188
2014-04-04,1596.764559
2014-04-07,1617.002171
2014-04-08,1607.566523
2014-04-09,1617.719444
2014-04-10,1623.204912
2014-04-11,1639.346078
2014-04-14,1638.304346
2014-04-15,1635.36398
2014-04-16,1626.811083
2014-04-17,1634.158833
2014-04-22,1626.169335
2014-04-23,1622.147027
2014-04-24,1628.09101
2014-04-25,1638.550267
2014-04-28,1630.171574
2014-04-29,1611.550715
2014-04-30,1604.452079
2014-05-01,1587.282583
2014-05-02,1572.926955
2014-05-06,1577.7962
2014-05-07,1586.787523
2014-05-08,1578.45518
2014-05-09,1577.93607
2014-05-12,1584.407297
2014-05-13,1597.606698
2014-05-14,1595.567416
2014-05-15,1607.152431
2014-05-16,1597.237424
2014-05-19,1580.715343
2014-05-20,1580.425818
2014-05-21,1570.597336
2014-05-22,1561.833785
2014-05-23,1580.429476
2014-05-27,1589.612205
2014-05-28,1593.200714
2014-05-29,1594.651361
2014-05-30,1576.203331
2014-06-02,1567.013218
2014-06-03,1572.37738
2014-06-04,1563.42435
2014-06-05,1564.87898
2014-06-06,1565.617854
2014-06-09,1551.140341
2014-06-10,1570.839492
2014-06-11,1564.884776
2014-06-12,1558.420969
2014-06-13,1543.98897
2014-06-16,1530.556308
2014-06-17,1532.195101
2014-06-18,1540.192967
2014-06-19,1551.842159
2014-06-20,1553.752145
2014-06-23,1562.163736
2014-06-24,1582.282491
2014-06-25,1578.70534
2014-06-26,1584.381655
2014-06-27,1594.069276
2014-06-30,1596.122137
2014-07-01,1587.088397
2014-07-02,1587.865821
2014-07-03,1604.85577
2014-07-04,1625.884674
2014-07-07,1625.852477
2014-07-08,1619.583323
2014-07-09,1634.740703
2014-07-10,1640.564211
2014-07-11,1620.892818
2014-07-14,1632.83503
2014-07-15,1643.091053
2014-07-16,1639.860487
2014-07-17,1650.482828
2014-07-18,1643.071759
2014-07-21,1633.08912
2014-07-22,1634.233767
2014-07-23,1649.807858
2014-07-24,1641.987865
2014-07-25,1650.361709
2014-07-28,1658.893444
2014-07-29,1648.811273
2014-07-30,1649.439303
2014-07-31,1646.25213
2014-08-01,1658.114424
2014-08-04,1636.725355
2014-08-05,1641.803806
2014-08-06,1650.913492
2014-08-07,1637.108914
2014-08-08,1643.924368
2014-08-11,1642.742974
2014-08-12,1646.272448
2014-08-13,1648.267461
2014-08-14,1631.521525
2014-08-15,1624.630265
2014-08-18,1614.893066
2014-08-19,1619.03279
2014-08-20,1631.169294
2014-08-21,1631.166634
2014-08-22,1639.559938
2014-08-26,1638.358942
2014-08-27,1638.605414
2014-08-28,1630.569014
2014-08-29,1632.365287
2014-09-01,1629.904531
2014-09-02,1621.674083
2014-09-03,1620.460809
2014-09-04,1611.164119
2014-09-05,1615.345511
2014-09-08,1605.608439
2014-09-09,1613.603312
2014-09-10,1591.036043
2014-09-11,1565.663083
2014-09-12,1561.345844
2014-09-15,1562.767965
2014-09-16,1566.018373
2014-09-17,1565.768034
2014-09-18,1566.93601
2014-09-19,1553.264621
2014-09-22,1539.137284
2014-09-23,1518.138269
2014-09-24,1522.648132
2014-09-25,1517.364851
2014-09-26,1513.996644
2014-09-29,1514.563775
2014-09-30,1500.906904
2014-10-01,1508.204652
2014-10-02,1500.334249
2014-10-03,1495.557994
2014-10-06,1497.875944
2014-10-07,1507.136076
2014-10-08,1511.384346
